אֵאוֹגֶנִיקָה	QeQWgE!niqaH	eoge!nika
מוֹשֵׁךְ	mWce!x	moʃe!x
מוֹשְׁכָה	mWc3xa!H	moʃxa!
מוֹשֵׁל	mWce!l	moʃe!l
מוּשָׂם	muSa!m	musa!m
מוּשְׁק	mu!cq	mu!ʃk
מוּשָׁר	muca!r	muʃa!r
מוּשָׁת	muca!t	muʃa!t
מָוֶת	ma!wEt	ma!vet
מוּתָג	muta!g	muta!g
מוֹתֵחַ	mWte!jÁ	mote!ax
מוֹתְחָן	mWt3ja!n	motxa!n
מוֹתִיר	mWti!r	moti!r
מוֹתֵק	mWte!q	mote!k
מוֹתָר	mWta!r	mota!r
מְוַתֵּר	m3wA_ṭe!r	mevate!r
מוֹתָרוֹת	mWtarW!t	motaro!t
מוֹתֵת	mWte!t	mote!t
מְזַאֲטֵט	m3zAQáTe!T	mezaate!t
מְזַבֵּחַ	m3zA_be!jÁ	mezabe!ax
מִזְבֵּחַ	mIzbe!jÁ	mizbe!ax
מְזַבֵּל	m3zA_be!l	mezabe!l
מְזֻבָּל	m3zU_ba!l	mezuba!l
מִזְבָּלָה	mIzbala!H	mizbala!
מִזֵּג	mI_ze!g	mize!g
מֶזֶג	mE!zEg	me!zeg
מָזַג	mazA!g	maza!g
מֻזַּג	mU_zA!g	muza!g
מְזַגֵּג	m3zA_ǵe!g	mezage!g
מְזֻגָּג	m3zU_ǵa!g	mezuga!g
מְזַגְזֵג	m3zAgze!g	mezagze!g
מְזֻגְזָג	m3zUgza!g	mezugza!g
מַזְגָּן	mAzǵa!n	mazga!n
מַזְגָן	mAzga!n	mazga!n
מִזְדָּהֵב	mIzḍahe!v	mizdahe!v
מִזְדַּהֶה	mIzḍAhE!H	mizdahe!
מִזְדַהֵם	mIzdAhe!m	mizdahe!m
מִזְדָּהֵם	mIzḍahe!m	mizdahe!m
מִזְדָּהֵר	mIzḍahe!r	mizdahe!r
מִזְדַּוֵּג	mIzḍA_we!g	mizdave!g
מִזְדַּחֵל	mIzḍAje!l	mizdaxe!l
מִזְדָּחֵל	mIzḍaje!l	mizdaxe!l
מִזְדַּיֵּן	mIzḍA_ye!n	mizdaje!n
מִזְדַּיֵּף	mIzḍA_ye!f	mizdaje!f
מִזְדַּכֶּה	mIzḍA_kE!H	mizdake!
מִזְדַּכֵּךְ	mIzḍA_ke!x	mizdake!x
מִזְדַּלֵּג	mIzḍA_le!g	mizdale!g
מִזְדַּלְזֵל	mIzḍAlze!l	mizdalze!l
מִזְדַּמְזֵם	mIzḍAmze!m	mizdamze!m
מִזְדַּמֵּן	mIzḍA_me!n	mizdame!n
מִזְדַּנֵּב	mIzḍA_ne!v	mizdane!v
מִזְדַּנְגֵּף	mIzḍAnǵe!f	mizdange!f
מִזְדַּעֲזֵעַ	mIzḍARáze!RÁ	mizdaaze!a
מִזְדָּעֵם	mIzḍaRe!m	mizdae!m
מִזְדַּעֵק	mIzḍARe!q	mizdae!k
מִזְדָּעֵק	mIzḍaRe!q	mizdae!k
מִזְדַּקֵּן	mIzḍA_qe!n	mizdake!n
מִזְדַּקֵּף	mIzḍA_qe!f	mizdake!f
מִזְדַּקֵּק	mIzḍA_qe!q	mizdake!k
מִזְדַּקֵּר	mIzḍA_qe!r	mizdake!r
מִזְדַּרְגֵּג	mIzḍArǵe!g	mizdarge!g
מִזְדָּרֵז	mIzḍare!z	mizdare!z
מֻזְהָב	mUzha!v	muzha!v
מְזַהֶה	m3zAhE!H	mezahe!
מְזָהֶה	m3zahE!H	mezahe!
מְזֹהֶה	m3zohE!H	mezohe!
מַזְהִיב	mAzhi!v	mazhi!v
מַזְהִיר	mAzhi!r	mazhi!r
מְזַהֵם	m3zAhe!m	mezahe!m
מְזָהֵם	m3zahe!m	mezahe!m
מְזֹהָם	m3zoha!m	mezoha!m
מֻזְהָר	mUzha!r	muzha!r
מְזַהֲרֵר	m3zAháre!r	mezahare!r
מְזַוֵּג	m3zA_we!g	mezave!g
מְזֻוָּג	m3zU_wa!g	mezuva!g
מִזּוּג	mI_zu!g	mizu!g
מָזוּג	mazu!g	mazu!g
מִזְוָדָה	mIzwada!H	mizvada!
מִזְוָדֹנֶת	mIzwado!nEt	mizvado!net
מְזָוֶה	m3zawE!H	mezave!
מְזֻוֶּה	m3zU_wE!H	mezuve!
מְזוּזָה	m3zuza!H	mezuza!
מָזוּט	mazu!T	mazu!t
מַזְוִיעַ	mAzwi!RÁ	mazvi!a
מָזוֹכִיזְם	mazWxi!zm	mazoxi!zm
מָזוֹכִיסְט	mazWxi!sT	mazoxi!st
מָזוֹכִיסְטִי	mazWxi!sTi	mazoxi!sti
מָזוֹן	mazW!n	mazo!n
מְזוֹנוֹת	m3zWnW!t	mezono!t
מָז׳וֹר	maJW!r	maʒo!r
מָזוֹר	mazW!r	mazo!r
מָז׳וֹרִי	maJW!ri	maʒo!ri
מְזֻוָּת	m3zU_wa!t	mezuva!t
מֵזֵחַ	meze!jÁ	meze!ax
מֵזַח	me!zAj	me!zax
מַזְחִיחַ	mAzji!jÁ	mazxi!ax
מַזְחִיל	mAzji!l	mazxi!l
מֻזְחָל	mUzja!l	muzxa!l
מִזְחֶלֶת	mIzjE!lEt	mizxe!let
מְזִיגָה	m3ziga!H	meziga!
מֵזִיד	mezi!d	mezi!d
מֵזִיז	mezi!z	mezi!z
מֵזִיחַ	mezi!jÁ	mezi!ax
מַזִּיל	mA_zi!l	mazi!l
מְזַיֵּן	m3zA_ye!n	mezaje!n
מְזֻיָּן	m3zU_ya!n	mezuja!n
מֵזִין	mezi!n	mezi!n
מֵזִיעַ	mezi!RÁ	mezi!a
מַזִּיעַ	mA_zi!RÁ	mazi!a
מְזַיֵּף	m3zA_ye!f	mezaje!f
מְזֻיָּף	m3zU_ya!f	mezuja!f
מַזִּיק	mA_zi!q	mazi!k
מַזִּיר	mA_zi!r	mazi!r
מְזַכֶּה	m3zA_kE!H	mezake!
מְזֻכֶּה	m3zU_kE!H	mezuke!
מְזַכְזֵךְ	m3zAxze!x	mezaxze!x
מַזְכִיר	mAzxi!r	mazxi!r
מַזְכִּיר	mAzki!r	mazki!r
מַזְכִּירוּת	mAzkiru!t	mazkiru!t
מְזַכֵּךְ	m3zA_ke!x	mezake!x
מְזֻכָּךְ	m3zU_ka!x	mezuka!x
מַזְכָּל	mAzka!l	mazka!l
מַזְכָּלִית	mAzka!lit	mazka!lit
מִזְכָּר	mIzka!r	mizka!r
מֻזְכָּר	mUzka!r	muzka!r
מַזְכֶּרֶת	mAzkE!rEt	mazke!ret
מַזָּל	mA_za!l	maza!l
מִזְלָג	mIzla!g	mizla!g
מַזְלֵג	mAzle!g	mazle!g
מִזְלוֹל	mIzlW!l	mizlo!l
מְזַלְזֵל	m3zAlze!l	mezalze!l
מְזֻלְזָל	m3zUlza!l	mezulza!l
מְזַלֵּחַ	m3zA_le!jÁ	mezale!ax
מַזְלָט	mAzla!T	mazla!t
מַזָּלִיסְט	mA_zali!sT	mazali!st
מַזְלִיף	mAzli!f	mazli!f
מִזְלָלָה	mIzlala!H	mizlala!
מְזַלֵּף	m3zA_le!f	mezale!f
מַזְלֵף	mAzle!f	mazle!f
מֻזְלָף	mUzla!f	muzla!f
מֵזֵם	meze!m	meze!m
מְזַמְבֵּר	m3zAmbe!r	mezambe!r
מְזִמָּה	m3zI_ma!H	mezima!
מִזְמוּז	mIzmu!z	mizmu!z
מִזְמוֹר	mIzmW!r	mizmo!r
מִזְמֵז	mIzme!z	mizme!z
מְזַמְזֵם	m3zAmze!m	mezamze!m
מַזְמְזָן	mAzm3za!n	mazmeza!n
מִזְמֵט	mIzme!T	mizme!t
מַזְמִים	mAzmi!m	mazmi!m
מַזְמִין	mAzmi!n	mazmi!n
מֻזְמָם	mUzma!m	muzma!m
מְזַמֵּן	m3zA_me!n	mezame!n
מְזֻמָּן	m3zU_ma!n	mezuma!n
מִזְּמַן	mI_z3mA!n	mizma!n
מֻזְמָן	mUzma!n	muzma!n
מְזֻמָּנִים	m3zU_mani!m	mezumani!m
מְזַמֵּר	m3zA_me!r	mezame!r
מַזְמֵרָה	mAzmera!H	mazmera!
מְזַמְרֵר	m3zAmre!r	mezamre!r
מְזַנֵּב	m3zA_ne!v	mezane!v
מְזֻנָּב	m3zU_na!v	mezuna!v
מִזְנוֹן	mIznW!n	mizno!n
מִזְנוֹנַאי	mIznWnA!Ny	miznona!j
מֻזְנָח	mUzna!j	muzna!x
מַזְנִיב	mAzni!v	mazni!v
מַזְנִיחַ	mAzni!jÁ	mazni!ax
מַזְנִיק	mAzni!q	mazni!k
מְזַנֵּק	m3zA_ne!q	mezane!k
מֻזְנָק	mUzna!q	muzna!k
מֻזָע	mUza!R	muza!
מִזְעוּר	mIzRu!r	mizʔu!r
מְזַעְזֵעַ	m3zARze!RÁ	mezaze!a
מְזַעֲזֵעַ	m3zARáze!RÁ	mezaaze!a
מְזֻעְזָע	m3zURza!R	mezuʔza!
מְזֻעֲזָע	m3zURáza!R	mezuaza!
מַזְעִים	mAzRi!m	mazʔi!m
מַזְעִיף	mAzRi!f	mazʔi!f
מַזְעִיק	mAzRi!q	mazʔi!k
מֻזְעָם	mUzRa!m	muzʔa!m
מֻזְעָף	mUzRa!f	muzʔa!f
מֻזְעָק	mUzRa!q	muzʔa!k
מְזַעֵר	m3zARe!r	mezae!r
מִזְעֵר	mIzRe!r	mizʔe!r
מִזְעָר	mIzRa!r	mizʔa!r
מֻזְעַר	mUzRA!r	muzʔa!r
מִזְעָרִי	mIzRari!	mizʔari!
מְזַפְזֵף	m3zAfze!f	mezafze!f
מְזַפֵּת	m3zA_pe!t	mezape!t
מְזֻפָּת	m3zU_pa!t	mezupa!t
מֻזָּק	mU_za!q	muza!k
מַזְקִין	mAzqi!n	mazki!n
מַזְקִיף	mAzqi!f	mazki!f
מַזְקִיק	mAzqi!q	mazki!k
מְזֻקָּן	m3zU_qa!n	mezuka!n
מֻזְקָן	mUzqa!n	muzka!n
מְזֻקָּף	m3zU_qa!f	mezuka!f
מֻזְקָף	mUzqa!f	muzka!f
מְזַקֵּק	m3zA_qe!q	mezake!k
מְזֻקָּק	m3zU_qa!q	mezuka!k
מֻזְקָק	mUzqa!q	muzka!k
מַזְקֵקָה	mAzqeqa!H	mazkeka!
מְזַקֵּר	m3zA_qe!r	mezake!r
מְזֻקָּר	m3zU_qa!r	mezuka!r
מִזֵּר	mI_ze!r	mize!r
מָזַר	mazA!r	maza!r
מְזַרְגֵּג	m3zArǵe!g	mezarge!g
מְזֻרְגָג	m3zUrga!g	mezurga!g
מְזֻרְגָּג	m3zUrǵa!g	mezurga!g
מְזָרֵד	m3zare!d	mezare!d
מְזָרֶה	m3zarE!H	mezare!
מִזְרֶה	mIzrE!H	mizre!
מְזָרֵז	m3zare!z	mezare!z
מְזֹרָז	m3zora!z	mezora!z
מְזַרְזֵף	m3zArze!f	mezarze!f
מִזְרָח	mIzra!j	mizra!x
מִזְרָחָה	mIzra!jaH	mizra!xa
מִזְרָחִי	mIzraji!	mizraxi!
מִזְרָחִיּוּת	mIzrajI_yu!t	mizraxiju!t
מְזַרְחֵן	m3zArje!n	mezarxe!n
מִזְרְחָן	mIzr3ja!n	mizrexa!n
מִזְרָחָן	mIzraja!n	mizraxa!n
מִזְרְחָנוּת	mIzr3janu!t	mizrexanu!t
מַזְרִיחַ	mAzri!jÁ	mazri!ax
מַזְרִים	mAzri!m	mazri!m
מַזְרִיעַ	mAzri!RÁ	mazri!a
מַזְרִיק	mAzri!q	mazri!k
מֻזְרָם	mUzra!m	muzra!m
מִזְרָן	mIzra!n	mizra!n
מֻזְרָע	mUzra!R	muzra!
מַזְרֵעָה	mAzreRa!H	mazrea!
מַזְרֵק	mAzre!q	mazre!k
מֻזְרָק	mUzra!q	muzra!k
מִזְרָקָה	mIzraqa!H	mizraka!
מֵחַ	me!jÁ	me!ax
מֹחַ	mo!jÁ	mo!ax
מָחָא	maja!Q	maxa!
מְחָאָה	m3jaQa!H	mexaa!
מֶחָאָה	mEjaQa!H	mexaa!
מֻחְבָּא	mUjba!Q	muxba!
מְחַבֵּב	m3jA_be!v	mexabe!v
מְחֻבָּב	m3jU_ba!v	mexuba!v
מַחְבּוֹא	mAjbW!Q	maxbo!
מַחֲבוֹא	mAjávW!Q	maxavo!
מַחְבּוֹאִים	mA!jbWQim	ma!xboim
מַחְבּוֹשׁ	mAjbW!c	maxbo!ʃ
מְחַבֵּט	m3jA_be!T	mexabe!t
מַחְבֵּט	mAjbe!T	maxbe!t
מַחְבִּיא	mAjbi!Q	maxbi!
מַחְבִּיר	mAjbi!r	maxbi!r
מְחַבֵּל	m3jA_be!l	mexabe!l
מְחֻבָּל	m3jU_ba!l	mexuba!l
מְחַבְלֵל	m3jAvle!l	mexavle!l
מְחַבֵּץ	m3jA_be!Z	mexabe!ts
מְחֻבָּץ	m3jU_ba!Z	mexuba!ts
מַחְבֵּצָה	mAjbeZa!H	maxbetsa!
מְחַבֵּק	m3jA_be!q	mexabe!k
מְחֻבָּק	m3jU_ba!q	mexuba!k
מְחַבֵּר	m3jA_be!r	mexabe!r
מְחֻבָּר	m3jU_ba!r	mexuba!r
מַחְבָּר	mAjba!r	maxba!r
מְחַבְרֵת	m3jAvre!t	mexavre!t
מְחֻבְרָת	m3jUvra!t	mexuvra!t
מַחְבֶּרֶת	mAjbE!rEt	maxbe!ret
מַחֲבַת	mAjávA!t	maxava!t
מַחְגֵּר	mAjǵe!r	maxge!r
מְחַדֵּד	m3jA_ḍe!d	mexade!d
מְחֻדָּד	m3jU_ḍa!d	mexuda!d
מַחְדִּיר	mAjḍi!r	maxdi!r
מֶחְדָּל	mEjḍa!l	mexda!l
מֻחְדָּר	mUjḍa!r	muxda!r
מְחַדֵּשׁ	m3jA_ḍe!c	mexade!ʃ
מְחֻדָּשׁ	m3jU_ḍa!c	mexuda!ʃ
מֻחְדָּשׁ	mUjḍa!c	muxda!ʃ
מִחָה	mIja!H	mixa!
מָחָה	maja!H	maxa!
מָחוּא	maju!Q	maxu!
מָחוֹג	majW!g	maxo!g
מְחוּגָה	m3juga!H	mexuga!
מְחַוֶּה	m3jA_wE!H	mexave!
מֶחְוָה	mEjwa!H	mexva!
מֶחֱוָה	mEjéwa!H	mexeva!
מַחֲוֶה	mAjáwE!H	maxave!
מָחוֹז	majW!z	maxo!z
מְחוֹזִי	m3jWzi!	mexozi!
מְחַוֵּט	m3jA_we!T	mexave!t
מְחֻוָּט	m3jU_wa!T	mexuva!t
מָחוּט	maju!T	maxu!t
מִחוּי	mIju!y	mixu!j
מָחוּי	maju!y	maxu!j
מַחְוִיר	mAjwi!r	maxvi!r
מָחוֹךְ	majW!x	maxo!x
מָחוֹל	majW!l	maxo!l
מָחוּל	maju!l	maxu!l
מְחוֹלִית	m3jWli!t	mexoli!t
מְחוֹלֵל	m3jWle!l	mexole!l
מְחוֹלָל	m3jWla!l	mexola!l
מַחְוָן	mAjwa!n	maxva!n
מְחוֹנֵן	m3jWne!n	mexone!n
מְחוֹנָן	m3jWna!n	mexona!n
מְחוֹפֵף	m3jWfe!f	mexofe!f
מָחוּץ	maju!Z	maxu!ts
מָחוּק	maju!q	maxu!k
מְחוֹקֵק	m3jWqe!q	mexoke!k
מְחַוֵּר	m3jA_we!r	mexave!r
מְחֻוָּר	m3jU_wa!r	mexuva!r
מֻחְוָר	mUjwa!r	muxva!r
מְחוֹרֵר	m3jWre!r	mexore!r
מְחוֹרָר	m3jWra!r	mexora!r
מֵחוּשׁ	meju!c	mexu!ʃ
מָחוֹשׁ	majW!c	maxo!ʃ
מַחֲזָאוּת	mAjázaQu!t	maxazau!t
מַחֲזַאי	mAjázA!Ny	maxaza!j
מְחַזֶּה	m3jA_zE!H	mexaze!
מַחֲזֶה	mAjázE!H	maxaze!
מִחְזוּר	mIjzu!r	mixzu!r
מַחְזוֹר	mAjzW!r	maxzo!r
מַחְזוֹרִי	mAjzWri!	maxzori!
מַחְזוֹרִיּוּת	mAjzWrI_yu!t	maxzoriju!t
מַחְזִיק	mAjzi!q	maxzi!k
מַחֲזִיק	mAjázi!q	maxazi!k
מַחְזִיר	mAjzi!r	maxzi!r
מַחְזִירוֹר	mAjzirW!r	maxziro!r
מַחֲזִירוֹר	mAjázirW!r	maxaziro!r
מְחַזְלֵשׁ	m3jAzle!c	mexazle!ʃ
מַחֲזֶמֶר	mAjázE!mEr	maxaze!mer
מְחַזֵק	m3jAze!q	mexaze!k
מְחַזֵּק	m3jA_ze!q	mexaze!k
מְחֻזָּק	m3jU_za!q	mexuza!k
מֻחְזָק	mUjza!q	muxza!k
מֻחֲזָק	mUjáza!q	muxaza!k
מְחַזֵּר	m3jA_ze!r	mexaze!r
מְחֻזָּר	m3jU_za!r	mexuza!r
מִחְזֵר	mIjze!r	mixze!r
מֻחְזָר	mUjza!r	muxza!r
מַחְזֹרֶת	mAjzo!rEt	maxzo!ret
מַחַט	mA!jAT	ma!xat
מָחַט	majA!T	maxa!t
מָחָט	maja!T	maxa!t
מְחַטֵּא	m3jA_Te!Q	mexate!
מְחֻטָּא	m3jU_Ta!Q	mexuta!
מֻחְטָא	mUjTa!Q	muxta!
מְחַטֵּב	m3jA_Te!v	mexate!v
מְחֻטָּב	m3jU_Ta!v	mexuta!v
מְחַטְחֵט	m3jATje!T	mexatxe!t
מְחַטֵּט	m3jA_Te!T	mexate!t
מְחֻטָּט	m3jU_Ta!T	mexuta!t
מַחְטִיא	mAjTi!Q	maxti!
מַחְטִיאָן	mAjTiQa!n	maxtia!n
מַחְטִיף	mAjTi!f	maxti!f
מַחְטָנִי	mAjTani!	maxtani!
מֶחְטָף	mEjTa!f	mexta!f
מֻחְטָף	mUjTa!f	muxta!f
מְחִי	m3ji!	mxi!
מְחִיאָה	m3jiQa!H	mexia!
מְחַיֵּב	m3jA_ye!v	mexaje!v
מְחֻיָּב	m3jU_ya!v	mexuja!v
מְחֻיָּבוּת	m3jU_yavu!t	mexujavu!t
מְחַיֵּג	m3jA_ye!g	mexaje!g
מְחַיֶּה	m3jA_yE!H	mexaje!
מִחְיָה	mIjya!H	mixja!
מַחְיֶה	mAjyE!H	maxje!
מַחֲיֶה	mAjáyE!H	maxaje!
מֻחְיֶה	mUjyE!H	muxje!
מְחִיהָה	m3jiha!H	mexiha!
מְחַיֵּט	m3jA_ye!T	mexaje!t
מְחֻיָּט	m3jU_ya!T	mexuja!t
מְחִיטָה	m3jiTa!H	mexita!
מְחַיֵּךְ	m3jA_ye!x	mexaje!x
מְחֻיָּךְ	m3jU_ya!x	mexuja!x
מְחַיֵּל	m3jA_ye!l	mexaje!l
מְחֻיָּל	m3jU_ya!l	mexuja!l
מֵחִיל	meji!l	mexi!l
מָחִיל	maji!l	maxi!l
מְחִילָה	m3jila!H	mexila!
מְחִילָּה	m3ji_la!H	mexila!
מְחַיֵּץ	m3jA_ye!Z	mexaje!ts
מְחֻיָּץ	m3jU_ya!Z	mexuja!ts
מְחִיצָה	m3jiZa!H	mexitsa!
מְחִיצָּה	m3ji_Za!H	mexitsa!
מָחִיק	maji!q	maxi!k
מְחִיקָה	m3jiqa!H	mexika!
מְחִיקוֹן	m3jiqW!n	mexiko!n
מְחִיר	m3ji!r	mexi!r
מְחִירוֹן	m3jirW!n	mexiro!n
מֵחִישׁ	meji!c	mexi!ʃ
מְחִית	m3ji!t	mexi!t
מְחַכֶּה	m3jA_kE!H	mexake!
מְחַכְחֵךְ	m3jAxje!x	mexaxxe!x
מַחְכִּים	mAjki!m	maxki!m
מַחְכִים	mAjxi!m	maxxi!m
מַחְכִיר	mAjxi!r	maxxi!r
מַחְכִּיר	mAjki!r	maxki!r
מְחַכֵּךְ	m3jA_ke!x	mexake!x
מְחֻכָּךְ	m3jU_ka!x	mexuka!x
מְחַכְלֵל	m3jAxle!l	mexaxle!l
מְחֻכָּם	m3jU_ka!m	mexuka!m
מֻחְכָּם	mUjka!m	muxka!m
מֻחְכָּר	mUjka!r	muxka!r
מֵחֵל	meje!l	mexe!l
מָחַל	majA!l	maxa!l
מֻחְלָא	mUjla!Q	muxla!
מַחְלָבָה	mAjlava!H	maxlava!
מֻחְלָד	mUjla!d	muxla!d
מְחִלָּה	m3jI_la!H	mexila!
מְחַלֶּה	m3jA_lE!H	mexale!
מַחְלֶה	mAjlE!H	maxle!
מַחֲלָה	mAjála!H	maxala!
מְחַלְחֵל	m3jAlje!l	mexalxe!l
מְחֻלְחָל	m3jUlja!l	mexulxa!l
מְחַלֵּט	m3jA_le!T	mexale!t
מְחֻלָּט	m3jU_la!T	mexula!t
מֻחְלָט	mUjla!T	muxla!t
מְחַלְטֵר	m3jAlTe!r	mexalte!r
מַחְלִיא	mAjli!Q	maxli!
מַחְלִיד	mAjli!d	maxli!d
מַחְלִיט	mAjli!T	maxli!t
מַחְלִיטָן	mAjliTa!n	maxlita!n
מַחְלִיל	mAjli!l	maxli!l
מַחְלִים	mAjli!m	maxli!m
מַחְלִיף	mAjli!f	maxli!f
מַחֲלִיף	mAjáli!f	maxali!f
מַחְלִיץ	mAjli!Z	maxli!ts
מַחְלִיק	mAjli!q	maxli!k
מַחֲלִיק	mAjáli!q	maxali!k
מַחְלִיקַיִם	mAjliqA!yIm	maxlika!im
מַחֲלִיקַיִם	mAjáliqA!yIm	maxalika!im
מַחְלִישׁ	mAjli!c	maxli!ʃ
מְחַלֵּל	m3jA_le!l	mexale!l
מְחֻלָּל	m3jU_la!l	mexula!l
מֻחְלָל	mUjla!l	muxla!l
מֻחְלָם	mUjla!m	muxla!m
מְחַלֵּן	m3jA_le!n	mexale!n
מְחֻלָּן	m3jU_la!n	mexula!n
מַחְלָן	mAjla!n	maxla!n
מְחַלֵּף	m3jA_le!f	mexale!f
מְחֻלָּף	m3jU_la!f	mexula!f
מִחְלֵף	mIjle!f	mixle!f
מֶחְלָף	mEjla!f	mexla!f
מֻחְלָף	mUjla!f	muxla!f
מֻחֲלָף	mUjála!f	muxala!f
מַחְלָפָה	mAjlafa!H	maxlafa!
מְחַלֵּץ	m3jA_le!Z	mexale!ts
מְחֻלָּץ	m3jU_la!Z	mexula!ts
מַחְלָצָה	mAjlaZa!H	maxlatsa!
מְחַלֵּק	m3jA_le!q	mexale!k
מְחֻלָּק	m3jU_la!q	mexula!k
מֶחְלָק	mEjla!q	mexla!k
מֻחְלָק	mUjla!q	muxla!k
מֻחֲלָק	mUjála!q	muxala!k
מַחְלָקָה	mAjlaqa!H	maxlaka!
מַחְלֹקֶת	mAjlo!qEt	maxlo!ket
מַחֲלֹקֶת	mAjálo!qEt	maxalo!ket
מַחְלַקְתִּי	mAjlAqṭi!	maxlakti!
מְחַלֵּשׁ	m3jA_le!c	mexale!ʃ
מֻחְלָשׁ	mUjla!c	muxla!ʃ
מֵחֵם	meje!m	mexe!m
מֻחֲמָא	mUjáma!Q	muxama!
מַחְמָאָה	mAjmaQa!H	maxmaa!
מַחְמָד	mAjma!d	maxma!d
מַחְמוּד	mAjmu!d	maxmu!d
מַחְמִיא	mAjmi!Q	maxmi!
מַחֲמִיא	mAjámi!Q	maxami!
מַחֲמִיאָן	mAjámiQa!n	maxamia!n
מַחְמִיץ	mAjmi!Z	maxmi!ts
מַחְמִיצָן	mAjmiZa!n	maxmitsa!n
מַחְמִיק	mAjmi!q	maxmi!k
מַחְמִיר	mAjmi!r	maxmi!r
מְחַמֵּם	m3jA_me!m	mexame!m
מְחֻמָּם	m3jU_ma!m	mexuma!m
מְחַמֵּס	m3jA_me!s	mexame!s
מֻחְמָץ	mUjma!Z	muxma!ts
מְחַמְצֵן	m3jAmZe!n	mexamtse!n
מְחֻמְצָן	m3jUmZa!n	mexumtsa!n
מַחְמֶצֶת	mAjmE!ZEt	maxme!tset
מְחַמֵּר	m3jA_me!r	mexame!r
מֻחְמָר	mUjma!r	muxma!r
מְחַמְרֵן	m3jAmre!n	mexamre!n
מְחַמֵּשׁ	m3jA_me!c	mexame!ʃ
מְחֻמָּשׁ	m3jU_ma!c	mexuma!ʃ
מַחֲנָאוּת	mAjánaQu!t	maxanau!t
מַחְנֶה	mAjnE!H	maxne!
מַחֲנֶה	mAjánE!H	maxane!
מֻחְנֶה	mUjnE!H	muxne!
מְחַנְחֵן	m3jAnje!n	mexanxe!n
מְחֻנְטְרָשׁ	m3jUnT3ra!c	mexuntra!ʃ
מַחֲנַיִם	mAjánA!yIm	maxana!im
מַחְנִיף	mAjni!f	maxni!f
מַחֲנִיף	mAjáni!f	maxani!f
מַחְנִיק	mAjni!q	maxni!k
מְחַנֵּךְ	m3jA_ne!x	mexane!x
מְחֻנָּךְ	m3jU_na!x	mexuna!x
מְחַנֵּן	m3jA_ne!n	mexane!n
מֻחֲנָף	mUjána!f	muxana!f
מְחַנֵּק	m3jA_ne!q	mexane!k
מַחְנָק	mAjna!q	maxna!k
מַחֲנָק	mAjána!q	maxana!k
מֻחְנָק	mUjna!q	muxna!k
מְחַנְקֵן	m3jAnqe!n	mexanke!n
מַחֲסֶה	mAjásE!H	maxase!
מַחְסוֹם	mAjsW!m	maxso!m
מַחְסוֹר	mAjsW!r	maxso!r
מַחְסִין	mAjsi!n	maxsi!n
מַחְסִיר	mAjsi!r	maxsi!r
מְחַסֵּךְ	m3jA_se!x	mexase!x
מְחַסֵּל	m3jA_se!l	mexase!l
מְחֻסָּל	m3jU_sa!l	mexusa!l
מְחַסֵּם	m3jA_se!m	mexase!m
מְחֻסָּם	m3jU_sa!m	mexusa!m
מְחַסֵּן	m3jA_se!n	mexase!n
מְחֻסָּן	m3jU_sa!n	mexusa!n
מַחְסָן	mAjsa!n	maxsa!n
מֻחְסָן	mUjsa!n	muxsa!n
מַחְסְנָאוּת	mAjs3naQu!t	maxsenau!t
מַחְסְנַאי	mAjs3nA!Ny	maxsena!j
מַחְסָנִית	mAjsani!t	maxsani!t
מְחַסְפֵּס	m3jAspe!s	mexaspe!s
מְחֻסְפָּס	m3jUspa!s	mexuspa!s
מְחַסֵּר	m3jA_se!r	mexase!r
מְחֻסָּר	m3jU_sa!r	mexusa!r
מֻחְסָר	mUjsa!r	muxsa!r
מְחַפֶּה	m3jA_pE!H	mexape!
מְחֻפֶּה	m3jU_pE!H	mexupe!
מַחְפִּיץ	mAjpi!Z	maxpi!ts
מַחְפִיר	mAjfi!r	maxfi!r
מַחְפִּיר	mAjpi!r	maxpi!r
מְחַפֵּף	m3jA_pe!f	mexape!f
מְחֻפָּר	m3jU_pa!r	mexupa!r
מַחְפֵּר	mAjpe!r	maxpe!r
מֻחְפָּר	mUjpa!r	muxpa!r
מַחְפֹּרֶת	mAjpo!rEt	maxpo!ret
מְחַפֵּשׂ	m3jA_pe!S	mexape!s
מְחֻפָּשׂ	m3jU_pa!S	mexupa!s
מְחַפֵּת	m3jA_pe!t	mexape!t
מַחַץ	mA!jAZ	ma!xats
מָחַץ	majA!Z	maxa!ts
מַחְצָב	mAjZa!v	maxtsa!v
מַחְצָבָה	mAjZava!H	maxtsava!
מַחְצֶבֶת	mAjZE!vEt	maxtse!vet
מְחִצָּה	m3jI_Za!H	mexitsa!
מֶחֱצָה	mEjéZa!H	mexetsa!
מְחַצְחֵץ	m3jAZje!Z	mexatsxe!ts
מַחְצִין	mAjZi!n	maxtsi!n
מַחְצִיף	mAjZi!f	maxtsi!f
מַחֲצִית	mAjáZi!t	maxatsi!t
מַחְצֶלֶת	mAjZE!lEt	maxtse!let
מְחַצֵּן	m3jA_Ze!n	mexatse!n
מֻחְצָן	mUjZa!n	muxtsa!n
מְחֻצָּף	m3jU_Za!f	mexutsa!f
מֻחְצָף	mUjZa!f	muxtsa!f
מְחֻצָּץ	m3jU_Za!Z	mexutsa!ts
מַחְצֵצָה	mAjZeZa!H	maxtsetsa!
