repr	class	index	dotted	pos	root	affix	affix_allomorph	gender	number	comment	singular_suffix	plural_suffix	phonemic	paradigm	checked	is_foreign	latin
mAvli!7	noun	0	מַבְלִיט	beynoni	vlT	m_mAq7i!l	-	z	-		-	im	mavli!t	b_sus	true	false	mavli!T
mAvli!g	noun	0	מַבְלִיג	beynoni	vlg	m_mAq7i!l	-	z	-		-	im	mavli!g	b_sus	true	false	mavli!g
mAvliga!n	noun	0	מַבְלִיגָן	noun		s_an		z			-	im	mavliga!n	b_dat	true		mavliga!n
mAvli!jÁ	noun	0	מַבְלִיחַ	beynoni	vlj	m_mAq7i!l	-	z	-		-	im	mavli!ax	b_sus	true	false	mavli!ac
mAvli!RÁ	noun	0	מַבְלִיעַ	beynoni	vlR	m_mAq7i!l	-	z	-		-	im	mavli!a	b_sus	true	false	mavli!â
mAvQi!c	noun	0	מַבְאִישׁ	beynoni	vQc	m_mAq7i!l	-	z	-		-	im	mav'i!c	b_sus	true	false	mav'i!S
mAvqi!RÁ	noun	0	מַבְקִיעַ	beynoni	vqR	m_mAq7i!l	-	z	-		-	im	mavki!a	b_sus	true	false	mavqi!â
mAvqiRa!n	noun	0	מַבְקִיעָן	noun		s_an		z			-	im	mavkia!n	b_dat	true	false	mavqiâ!n
mAvre!g	noun	0	מַבְרֵג	noun	vrg	m_mAq7e!l	-	z			-	im	mavre!g	b_binyan	true	false	mavre!g
mAvrega!H	noun	0	מַבְרֵגָה	noun	vrg	m_mAq7ela!H	-	n			a!H	Wt	mavrega!		true	false	mavrega!
mAvrE!H	noun	0	מַבְרֶה	beynoni	bry	m_mAq7i!l		z	-		E!H	im	mavre!	b_sus	false	false	mavre!
mAvRE!H	noun	0	מַבְעֶה	beynoni	bRy	m_mAq7i!l		z	-		E!H	im	mav'e!	b_sus	false	false	mavê!
mAvRe!r	noun	0	מַבְעֵר	noun	vRr	m_mAq7e!l	-	z			-	im	mav'e!r	b_binyan	true	false	mavê!r
mAvri!c	noun	0	מַבְרִישׁ	beynoni	vrc	m_mAq7i!l	-	z	-		-	im	mavri!c	b_sus	true	false	mavri!S
mAvri!g	noun	0	מַבְרִיג	beynoni	vrg	m_mAq7i!l	-	z	-		-	im	mavri!g	b_sus	true	false	mavri!g
mAvri!jÁ	noun	0	מַבְרִיחַ	beynoni	vrj	m_mAq7i!l	-	z	-		-	im	mavri!ax	b_sus	true	false	mavri!ac
mAvri!q	noun	0	מַבְרִיק	beynoni	vrq	m_mAq7i!l	-	z	-		-	im	mavri!k	b_sus	true	false	mavri!q
mAvri!Q	noun	0	מַבְרִיא	beynoni	vrQ	m_mAq7i!l	-	z	-		-	im	mavri!	b_sus	true	false	mavri!
mAvRi!r	noun	0	מַבְעִיר	beynoni	vRr	m_mAq7i!l	-	z	-		-	im	mav'i!r	b_sus	true	false	mavî!r
mAvRi!t	noun	0	מַבְעִית	beynoni	vRt	m_mAq7i!l	-	z	-		-	im	mav'i!t	b_sus	true	false	mavî!t
mAvri!x	noun	0	מַבְרִיךְ	beynoni	brk	m_mAq7i!l		z	-		-	im	mavri!x	b_sus	false	false	mavri!x
mAvri!z	noun	0	מַבְרִיז	beynoni	vrz	m_mAq7i!l	-	z	-		-	im	mavri!z	b_sus	true	false	mavri!z
mAvriza!n	noun	0	מַבְרִיזָן	noun		s_an		z			-	im	mavriza!n	b_dat	true		mavriza!n
mavW!Q	noun	0	מָבוֹא	noun	vwQ	m_mIq7a!l	ma*W!*	z			-		mavo!		true	false	mavo!
mavW!x	noun	0	מָבוֹךְ	noun	vwx	m_mIq7a!l	ma*W!*	z			-	im	mavo!x		true	false	mavo!x
mavW!y	noun	0	מָבוֹי	noun	vwQ	m_mIq7a!l	ma*W!*	z			-	Wt	mavo!y		true	false	mavo!y
mavW!y satu!m	noun	0	מָבוֹי סָתוּם	noun									mavo!y satu!m		false		mavo!y satu!m
mAvZera!H	noun	0	מַבְצֵרָה	noun	vZr	m_mAq7ela!H	-	n			a!H	Wt	mavtsera!		true	false	mavZera!
mAvzi!q	noun	0	מַבְזִיק	beynoni	vzq	m_mAq7i!l	-	z	-		-	im	mavzi!k	b_sus	true	false	mavzi!q
ma!wEt	noun	0	מָוֶת	noun	mwt	m_qa!wEl	-	z			-	Wt	ma!vet		true	false	ma!wet
mAwri!d	noun	0	מַוְרִיד	beynoni	wrd	m_mAq7i!l	-	z	-		-	im	mavri!d	b_sus	true	false	mawri!d
ma!x	noun	0	מָךְ	beynoni	mwk	m_qa!l		z	-		-	im	ma!x		false	false	ma!x
ma!x	verb	0	מָךְ	verb	mwk	b_paal							ma!x		false	false	ma!x
mA!x	verb	0	מַךְ	verb	mkk	b_paal							ma!x		false	false	ma!x
maxA!r	verb	0	מָכַר	verb	mkr	b_paal							maxa!r		false	false	maxa!r
maxA!r lW lW!q3cim	verb	0	מָכַר-לוֹ-לוֹקְשִׁים	verb									maxa!r lo lo!kcim		false	false	maxa!r lo lo!qSim
mAxbe!c	noun	0	מַכְבֵּשׁ	noun	xvc	m_mAq7e!l	-	z			-	im	maxbe!c	b_binyan	true	false	maxbe!S
mAxbe!c hA_D3fu!s	noun	0	מַכְבֵּשׁ הַדְּפוּס	noun									maxbe!c hadfu!s		false		maxbe!S hadfu!s
mAxbena!H	noun	0	מַכְבֵּנָה	noun	kbn	m_mAq7ela!H	-	n			a!H	Wt	maxbena!		true	false	maxbena!
mAxbi!d	noun	0	מַכְבִּיד	beynoni	xbd	m_mAq7i!l	-	z	-		-	im	maxbi!d	b_sus	true	false	maxbi!d
mAxbi!r	noun	0	מַכְבִּיר	beynoni	kbr	m_mAq7i!l		z	-		-	im	maxbi!r	b_sus	false	false	maxbi!r
mAxcefa!H	noun	0	מַכְשֵׁפָה	noun	xcf	m_mAq7ela!H	-	n			a!H	Wt	maxcefa!		true	false	maxSefa!
mAxci!l	noun	0	מַכְשִׁיל	beynoni	xcl	m_mAq7i!l	-	z	-		-	im	maxci!l	b_sus	true	false	maxSi!l
mAxci!r	noun	0	מַכְשִׁיר	beynoni	xcr	m_mAq7i!l	-	z	-		-	im	maxci!r	b_sus	true	false	maxSi!r
maXE!n7aH	noun	0	מָגֶ׳נְטָה	noun				n			a!H	Wt	madje!nta	f_banana	false		maGe!nTa
mAxfi!l	noun	0	מַכְפִיל	beynoni	xfl	m_mAq7i!l	-	z	-		-	im	maxfi!l	b_sus	true	false	maxfi!l
mAxhE!H	noun	0	מַכְהֶה	beynoni	khy	m_mAq7i!l		z	-		E!H	im	maxhe!	b_sus	false	false	maxhe!
mAxji!c	noun	0	מַכְחִישׁ	beynoni	xjc	m_mAq7i!l	-	z	-		-	im	maxxi!c	b_sus	true	false	maxci!S
mAxji!d	noun	0	מַכְחִיד	beynoni	xjd	m_mAq7i!l	-	z	-		-	im	maxxi!d	b_sus	true	false	maxci!d
mAxji!l	noun	0	מַכְחִיל	beynoni	xjl	m_mAq7i!l	-	z	-		-	im	maxxi!l	b_sus	true	false	maxci!l
mAxle!v	noun	0	מַכְלֵב	noun	xlv	m_mAq7e!l	-	z			-	im	maxle!v	b_binyan	true	false	maxle!v
mAxli!l	noun	0	מַכְלִיל	beynoni	xll	m_mAq7i!l	-	z	-		-	im	maxli!l	b_sus	true	false	maxli!l
mAxli!m	noun	0	מַכְלִים	beynoni	xlm	m_mAq7i!l	-	z	-		-	im	maxli!m	b_sus	true	false	maxli!m
mAxli!Q	noun	0	מַכְלִיא	beynoni	xlQ	m_mAq7i!l	-	z	-		-	im	maxli!	b_sus	true	false	maxli!
mAxli!v	noun	0	מַכְלִיב	beynoni	xlv	m_mAq7i!l	-	z	-		-	im	maxli!v	b_sus	true	false	maxli!v
mAxmi!n	noun	0	מַכְמִין	beynoni	xmn	m_mAq7i!l	-	z	-		-	im	maxmi!n	b_sus	true	false	maxmi!n
mAxmi!r	noun	0	מַכְמִיר	beynoni	xmr	m_mAq7i!l	-	z	-		-	im	maxmi!r	b_sus	true	false	maxmi!r
mAxni!f	noun	0	מַכְנִיף	beynoni	knp	m_mAq7i!l		z	-		-	im	maxni!f	b_sus	false	false	maxni!f
mAxni!m	noun	0	מַכְנִים	beynoni	xnm	m_mAq7i!l	-	z	-		-	im	maxni!m	b_sus	true	false	maxni!m
mAxni!RÁ	noun	0	מַכְנִיעַ	beynoni	xnR	m_mAq7i!l	-	z	-		-	im	maxni!a	b_sus	true	false	maxni!â
mAxni!s	noun	0	מַכְנִיס	beynoni	xns	m_mAq7i!l	-	z	-		-	im	maxni!s	b_sus	true	false	maxni!s
mAxpela!H	noun	0	מַכְפֵּלָה	noun	xfl	m_mAq7ela!H	-	n			a!H	Wt	maxpela!		true	false	maxpela!
mAxpi!c	noun	0	מַכְפִּישׁ	beynoni	xpc	m_mAq7i!l	-	z	-		-	im	maxpi!c	b_sus	true	false	maxpi!S
mAxpica!n	noun	0	מַכְפִּישָׁן	noun		s_an		z			-	im	maxpica!n	b_dat	true		maxpiSa!n
mAxpi!f	noun	0	מַכְפִּיף	beynoni	xpf	m_mAq7i!l	-	z	-		-	im	maxpi!f	b_sus	true	false	maxpi!f
mAxpi!l	noun	0	מַכְפִּיל	beynoni	kpl	m_mAq7i!l		z	-		-	im	maxpi!l	b_sus	false	false	maxpi!l
mAxQi!v	noun	0	מַכְאִיב	beynoni	xQv	m_mAq7i!l	-	z	-		-	im	max'i!v	b_sus	true	false	max'i!v
mAxQW!v	noun	0	מַכְאוֹב	noun	xQv	m_mAq7W!l	-	z			-	im	max'o!v		true	false	max'o!v
mAxri!jÁ	noun	0	מַכְרִיחַ	beynoni	xrj	m_mAq7i!l	-	z	-		-	im	maxri!ax	b_sus	true	false	maxri!ac
mAxRi!r	noun	0	מַכְעִיר	beynoni	kRr	m_mAq7i!l		z	-		-	im	max'i!r	b_sus	false	false	maxî!r
mAxri!RÁ	noun	0	מַכְרִיעַ	beynoni	xrR	m_mAq7i!l	-	z	-		-	im	maxri!a	b_sus	true	false	maxri!â
mAxri!s	noun	0	מַכְרִיס	beynoni	krs	m_mAq7i!l		z	-		-	im	maxri!s	b_sus	false	false	maxri!s
mAxRi!s	noun	0	מַכְעִיס	beynoni	xRs	m_mAq7i!l	-	z	-		-	im	max'i!s	b_sus	true	false	maxî!s
mAxri!t	noun	0	מַכְרִית	beynoni	xrt	m_mAq7i!l	-	z	-		-	im	maxri!t	b_sus	true	false	maxri!t
mAxri!z	noun	0	מַכְרִיז	beynoni	xrz	m_mAq7i!l	-	z	-		-	im	maxri!z	b_sus	true	false	maxri!z
mAxseja!H	noun	0	מַכְסֵחָה	noun	xsj			n			a!H	Wt	maxsexa!		false	false	maxseca!
mAxsejA!t DE!cEQ	noun	0	מַכְסֵחַת-דֶּשֶׁא	noun									maxsexa!t de!ce		false	false	maxseca!t de!Se
mAxsi!f	noun	0	מַכְסִיף	beynoni	xsf	m_mAq7i!l	-	z	-		-	im	maxsi!f	b_sus	true	false	maxsi!f
mAxTe!c	noun	0	מַכְתֵּשׁ	noun	xtc	m_mAq7e!l	-	z			-	im	maxte!c	b_binyan	true	false	maxte!S
mAxTE!cEt	noun	0	מַכְתֶּשֶׁת	noun	xtc			n			Et	Wt	maxte!cet		false	false	maxte!Set
mAxTi!f	noun	0	מַכְתִּיף	beynoni	ktp	m_mAq7i!l		z	-		-	im	maxti!f	b_sus	false	false	maxti!f
mAxTi!m	noun	0	מַכְתִּים	beynoni	xtm	m_mAq7i!l	-	z	-		-	im	maxti!m	b_sus	true	false	maxti!m
mAxTi!r	noun	0	מַכְתִיר	beynoni	xtr	m_mAq7i!l	-	z	-		-	im	maxti!r	b_sus	true	false	maxti!r
mAxTi!v	noun	0	מַכְתִּיב	beynoni	xtv	m_mAq7i!l	-	z	-		-	im	maxti!v	b_sus	true	false	maxti!v
mAxTi!v qE!ZEv	verb	0	מַכְתִּיב קֶצֶב	verb									maxti!v ke!tsev		false	false	maxti!v qe!Zev
maxu!r	noun	0	מָכוּר	beynoni	mxr	m_qa7u!l	-	z	-		-	im	maxu!r	b_paqid	true	false	maxu!r
maxu!s	noun	0	מָכוּס	beynoni	mxs	m_qa7u!l	-	z	-		-	im	maxu!s	b_paqid	true	false	maxu!s
mAxvi!r	noun	0	מַכְבִיר	beynoni	xvr	m_mAq7i!l	-	z	-		-	im	maxvi!r	b_sus	true	false	maxvi!r
maxW!n	noun	0	מָכוֹן	noun	xwn	m_qa7W!l	-	z			-	im	maxo!n		true	false	maxo!n
maxW!n	noun	1	מָכוֹן	noun	xwn	m_mIq7a!l	ma*W!*	z	-		-	im	maxo!n		true	false	maxo!n
mAxzi!v	noun	0	מַכְזִיב	beynoni	xzv	m_mAq7i!l	-	z	-		-	im	maxzi!v	b_sus	true	false	maxzi!v
mAy7i!v	noun	0	מַיְטִיב	beynoni	yTv	m_mAq7i!l	-	z	-		-	im	mayti!v	b_sus	true	false	mayTi!v
mAyci!r	noun	0	מַיְשִׁיר	beynoni	ycr	m_mAq7i!l		z	-		-	im	mayci!r	b_sus	false	false	maySi!r
mA_yE!mEt	noun	0	מַיֶּמֶת	noun	mym	m_qA_7E!lEt	-	n			Et	Wt	maye!met		true	false	maye!met
mA!yI7	noun	0	מַיִט	noun	mwT			z			-		ma!yit		false	false	ma!yiT
mA!yIc	noun	0	מַיִשׁ	noun	myc			z			-		ma!yic		false	false	ma!yiS
mA!yIm	noun	0	מַיִם	noun		-		z	plurale_tantum		-		ma!yim		true	false	ma!yim
mA!yIm 7eri7Wrya!NlI_yim	noun	0	מַיִם טֵרִיטוֹרְיָאלִיִּים	noun									ma!yim teritorya!liyim		false		ma!yim TeriTorya!liyim
mA!yIm cA_piri!m	noun	0		noun				z					ma!yim capiri!m		false		ma!yim Sapiri!m
mA!yIm m3liji!m	noun	0		noun				z					ma!yim melixi!m		false	false	ma!yim melici!m
mA!yIm m3luji!m	noun	0		noun				z					ma!yim meluxi!m		false	false	ma!yim meluci!m
mA!yIm m3tuqi!m	noun	0		noun									ma!im metuki!m		false		ma!yim metuqi!m
mA!yIm m3zU_qaqi!m	noun	0	מַיִם מְזֻקָּקִים	noun									ma!yim mezukaki!m		false		ma!yim mezuqaqi!m
mA!yIm minera!lI_yim	noun	0	מַיִם מִינֵרָלִיִּים	noun				z					ma!yim minera!liyim		false		ma!yim minera!liyim
mA!yIm mUtpali!m	noun	0		noun				z					ma!yim mutpali!m		false		ma!yim mutpali!m
mA!yIm p3nimI_yi!m	noun	0		noun				z					ma!yim pnimiyi!m		false		ma!yim pnimiyi!m
mA!yl yA_mi!	noun	0		noun									ma!yl yami!		false		ma!yl yami!
mAymi!n	noun	0	מַיְמִין	beynoni	ymn	m_mAq7i!l		z	-		-	im	maymi!n	b_sus	false	false	maymi!n
mayWnE!z	noun	0	מָיוֹנֶז	noun				z	singulare_tantum		-		mayone!z	f_atom	false	true	mayone!z
mazA!g	verb	0	מָזַג	verb	mzg	b_paal							maza!g		false	false	maza!g
mA_Za!g	noun	0	מַצָּג	noun	yZg	m_mAq7a!l	mA_*a!*	z	-		-	im	matsa!g		true	false	maZa!g
mA_ZA!g ca!wQ	noun	0	מַצַּג שָׁוְא	noun									matsa!g ca!v		false		maZa!g Sa!w
maZa!H	verb	0	מָצָה	verb	mZy	b_paal							matsa!		false	false	maZa!
mA_Za!H	noun	0	מַצָּה	noun		m_qA7la!H	*A_*a!H	n			a!H	Wt	matsa!		true	false	maZa!
mA_Za!H c3mura!H	noun	0	מַצָּה שְׁמוּרָה	noun									matsa! cmura!		false		maZa! Smura!
mA_Za!H Rácira!H	noun	0		noun				n					matsa! acira!		false	false	maZa! âSira!
mA_za!l	noun	0	מַזָּל	noun	nzl	m_mAq7a!l	mA_*a!*	z			-	Wt	maza!l		true	false	maza!l
mA_za!l 7W!v	fixed	0	מַזָּל טוֹב	interjection				z					maza!l to!v		false	false	maza!l To!v
mA_zali!s7	noun	0	מַזָּלִיסְט	noun	nzl			z			-	im	mazali!st	f_atom	false	false	mazali!sT
mA_zA!l qA_ca!t	noun	0	מַזַּל-קַשָּׁת	noun									maza!l kaca!t		false		maza!l qaSa!t
maZa!Q	verb	0	מָצָא	verb	mZQ	b_paal							matsa!		false	false	maZa!
maZa!Q je!n	verb	0	מָצָא חֵן	verb									matsa! xe!n		false	false	maZa! ce!n
mazA!r	verb	0	מָזַר	verb	mzr	b_paal							maza!r		false	false	maza!r
maZA!r	verb	0	מָצַר	verb	mZr	b_paal							matsa!r		false	false	maZa!r
mA_Za!R	noun	0	מַצָּע	noun	yZR	m_mAq7a!l	mA_*a!*	z			-	im	matsa!		true	false	maZâ!
mA_ZaRi!t	noun	0	מַצָּעִית	noun	yZR			n			i!t	Wt	matsai!t	b_sus	false	false	maZaî!t
mA_Za!t	noun	0	מַצָּת	noun	yZt	m_mAq7a!l	mA_*a!*	z			-	im	matsa!t		true	false	maZa!t
mA_Za!v	noun	0	מַצָּב	noun	yZv	m_mAq7a!l	mA_*a!*	z			-	im	matsa!v		true	false	maZa!v
mA_Zava!H	noun	0	מַצָּבָה	noun	yZv	m_mAq7ala!H	mA_*a*a!H	n			a!H	Wt	matsava!		true	false	maZava!
mA_Zavi!	noun	0	מַצָּבִי	adjective		s_i_adj		z			-	im	matsavi!	b_i	false		maZavi!
mA_Za!v jeru!m	noun	0		noun				z					matsa!v xeru!m		false	false	maZa!v ceru!m
mA_ZA!v ru!jÁ	noun	0	מַצַּב רוּחַ	noun									matsa!v ru!ax		false	false	maZa!v ru!ac
maZA!Z	verb	0	מָצַץ	verb	mZZ	b_paal							matsa!ts		false	false	maZa!Z
mAZbe!7	noun	0	מַצְבֵּט	noun	ZvT	m_mAq7e!l	-	z			-	im	matsbe!t	b_binyan	true	false	maZbe!T
mAZbe!r	noun	0	מַצְבֵּר	noun	Zvr	m_mAq7e!l	-	z			-	im	matsbe!r	b_binyan	true	false	maZbe!r
mAZbi!Q	noun	0	מַצְבִּיא	beynoni	ZbQ	m_mAq7i!l	-	z	-		-	im	matsbi!	b_sus	true	false	maZbi!
mAZbi!RÁ	noun	0	מַצְבִּיעַ	beynoni	ZbR	m_mAq7i!l		z	-		-	im	matsbi!a	b_sus	false	false	maZbi!â
mAZDi!q	noun	0	מַצְדִּיק	beynoni	Zdq	m_mAq7i!l	-	z	-		-	im	matsdi!k	b_sus	true	false	maZdi!q
mAZDi!RÁ	noun	0	מַצְדִּיעַ	beynoni	ZdR	m_mAq7i!l	-	z	-		-	im	matsdi!a	b_sus	true	false	maZdi!â
mA_ZE!gEt	noun	0	מַצֶּגֶת	noun	yZg			n			Et	Wt	matse!get		false	false	maZe!get
mA_ZE!qEt	noun	0	מַצֶּקֶת	noun	yZq	m_mAq7E!lEt	mA_*E!*ET	n			-	Wt	matse!ket		true	false	maZe!qet
mA_Zeva!H	noun	0	מַצֵּבָה	noun	yZv			n			a!H	Wt	matseva!		false	false	maZeva!
mA_ZevA!t zI_karW!n	noun	0	מַצֵּבַת זִכָּרוֹן	noun									matseva!t zikaro!n		false		maZeva!t zikaro!n
mA_ZE!vEt	noun	0	מַצֶּבֶת	noun	yZv	m_mAq7E!lEt	mA_*E!*ET	n			Et	Wt	matse!vet		true	false	maZe!vet
mAzga!n	noun	0	מַזְגָן	noun	mzg			z			-	im	mazga!n		false	false	mazga!n
mAzGa!n	noun	0	מַזְגָּן	noun	mzg	m_qA7la!n	-	z			-	im	mazga!n	b_dat	true	false	mazga!n
mAZhi!l	noun	0	מַצְהִיל	beynoni	Zhl	m_mAq7i!l	-	z	-		-	im	matshi!l	b_sus	true	false	maZhi!l
mAzhi!r	noun	0	מַזְהִיר	beynoni	zhr	m_mAq7i!l	-	z	-		-	im	mazhi!r	b_sus	true	false	mazhi!r
mAZhi!r	noun	0	מַצְהִיר	beynoni	Zhr	m_mAq7i!l	-	z	-		-	im	matshi!r	b_sus	true	false	maZhi!r
mAzhi!v	noun	0	מַזְהִיב	beynoni	zhv	m_mAq7i!l	-	z	-		-	im	mazhi!v	b_sus	true	false	mazhi!v
mAZhi!v	noun	0	מַצְהִיב	beynoni	Zhv	m_mAq7i!l	-	z	-		-	im	matshi!v	b_sus	true	false	maZhi!v
mA_Zi!g	noun	0	מַצִּיג	beynoni	yZg	m_mAq7i!l		z	-		-	im	matsi!g	b_sus	false	false	maZi!g
mA_zi!l	noun	0	מַזִּיל	beynoni	nzl	m_mAq7i!l		z	-		-	im	mazi!l	b_sus	false	false	mazi!l
mA_Zi!l	noun	0	מַצִּיל	beynoni		m_mAq7i!l	mA_*i!*	z	-		-	im	matsi!l	b_sus	true	false	maZi!l
mA_zi!q	noun	0	מַזִּיק	beynoni	nzq	m_mAq7i!l	mA_*i!*	z	-		-	im	mazi!k	b_sus	true	false	mazi!q
mA_zi!r	noun	0	מַזִּיר	beynoni	nzr	m_mAq7i!l		z	-		-	im	mazi!r	b_sus	false	false	mazi!r
mA_zi!RÁ	noun	0	מַזִּיעַ	beynoni	yzR	m_mAq7i!l		z	-		-	im	mazi!a	b_sus	false	false	mazi!â
mA_Zi!RÁ	noun	0	מַצִּיעַ	beynoni	yZR	m_mAq7i!l		z	-		-	im	matsi!a	b_sus	false	false	maZi!â
mA_Zi!t	noun	0	מַצִּית	beynoni	yZt	m_mAq7i!l		z	-		i!t	im	matsi!t	b_sus	false	false	maZi!t
mA_Zita!n	noun	0	מַצִּיתָן	noun	yZt			z			-	im	matsita!n		false	false	maZita!n
mA_Zi!t p3ti!l	noun	0		noun				z					matsi!t pti!l		false		maZi!t pti!l
mA_Zi!v	noun	0	מַצִּיב	beynoni	yZb	m_mAq7i!l		z	-		-	im	matsi!v	b_sus	false	false	maZi!v
maZi!Z	noun	0	מָצִיץ	adjective	mZZ	m_qa7i!l	-	z			-	im	matsi!ts	b_paqid	true	false	maZi!Z
mAzji!jÁ	noun	0	מַזְחִיחַ	beynoni	zjj			z	-		-	im	mazxi!ax		false	false	mazci!ac
mAZji!jÁ	noun	0	מַצְחִיחַ	beynoni	Zjj	m_mAq7i!l		z	-		-	im	matsxi!ax	b_sus	false	false	maZci!ac
mAzji!l	noun	0	מַזְחִיל	beynoni	zjl	m_mAq7i!l	-	z	-		-	im	mazxi!l	b_sus	true	false	mazci!l
mAZji!n	noun	0	מַצְחִין	beynoni	Zjn	m_mAq7i!l	-	z	-		-	im	matsxi!n	b_sus	true	false	maZci!n
mAZji!q	noun	0	מַצְחִיק	beynoni	Zjq	m_mAq7i!l	-	z	-		-	im	matsxi!k	b_sus	true	false	maZci!q
mAZjiqa!n	noun	0	מַצְחִיקָן	noun		s_an		z			-	im	matsxika!n	b_dat	true	false	maZciqa!n
mAZji!r	noun	0	מַצְחִיר	beynoni	Zjr	m_mAq7i!l		z	-		-	im	matsxi!r	b_sus	false	false	maZci!r
mAzka!l	noun	0	"מַזְכָּ""ל"	noun							-	im	mazka!l		false	false	mazka!l
mAzka!lit	noun	0	"מַזְכָּ""לִית"	noun				n			i!t	Wt	mazka!lit	f_atom	false		mazka!lit
mAzkE!rEt	noun	0	מַזְכֶּרֶת	noun	zxr			n			Et	Wt	mazke!ret		false	false	mazke!ret
mAzki!r	noun	0	מַזְכִּיר	beynoni	zkr	m_mAq7i!l		z	-		-	im	mazki!r	b_sus	false	false	mazki!r
mAzkira!H QelEq7rW!nit	noun	0	מַזְכִּירָה אֵלֶקְטְרוֹנִית	noun									mazkira! elektro!nit		false		mazkira! eleqTro!nit
mAzkiru!t	noun	0	מַזְכִּירוּת	noun		s_ut		n			u!t	Wt	mazkiru!t	b_sus	false	false	mazkiru!t
mAzla!7	noun	0	"מַזְלָ""ט"	noun				z			-	im	mazla!t		false	false	mazla!T
mAzle!f	noun	0	מַזְלֵף	noun	zlf	m_mAq7e!l	-	z			-	im	mazle!f	b_binyan	true	false	mazle!f
mAzle!g	noun	0	מַזְלֵג	noun	zlg	m_mAq7e!l	-	z			-	Wt	mazle!g	b_binyan	true	false	mazle!g
mAZlE!H	noun	0	מַצְלֶה	beynoni	Zly	m_mAq7i!l	mA**E!H	z	-		E!H	im	matsle!	b_sus	true	false	maZle!
mAZlema!H	noun	0	מַצְלֵמָה	noun	Zlm	m_mAq7ela!H	-	n			a!H	Wt	matslema!		true	false	maZlema!
mAZlemA!t Qi!n7ErnE7	noun	0		noun				n					matslema!t i!nternet		false		maZlema!t i!nTerneT
mAZlemA!t rE!cEt	noun	0		noun				n					matslema!t re!cet		false		maZlema!t re!Set
mAZleva!H	noun	0	מַצְלֵבָה	noun	Zlv	m_mAq7ela!H	-	n			a!H	Wt	matsleva!		true	false	maZleva!
mAzli!f	noun	0	מַזְלִיף	beynoni	zlf	m_mAq7i!l	-	z	-		-	im	mazli!f	b_sus	true	false	mazli!f
mAZli!f	noun	0	מַצְלִיף	beynoni	Zlf	m_mAq7i!l	-	z	-		-	im	matsli!f	b_sus	true	false	maZli!f
mAZli!jÁ	noun	0	מַצְלִיחַ	beynoni	Zlj	m_mAq7i!l	-	z	-		-	im	matsli!ax	b_sus	true	false	maZli!ac
mAZlija!n	noun	0	מַצְלִיחָן	adjective				z	-		-	im	matslixa!n	b_dat	false	false	maZlica!n
mAZlijani!	noun	0	מַצְלִיחָנִי	adjective		s_i_adj		z			-	im	matslixani!	b_i	false	false	maZlicani!
mAZli!l	noun	0	מַצְלִיל	beynoni	Zll	m_mAq7i!l	-	z	-		-	im	matsli!l	b_sus	true	false	maZli!l
mAZli!RÁ	noun	0	מַצְלִיעַ	beynoni	ZlR	m_mAq7i!l		z	-		-	im	matsli!a	b_sus	false	false	maZli!â
mAZli!v	noun	0	מַצְלִיב	beynoni	Zlv	m_mAq7i!l	-	z	-		-	im	matsli!v	b_sus	true	false	maZli!v
mAzm3za!n	noun	0	מַזְמְזָן	noun	mzmz	m_qA_73la!n		z	-		-	im	mazmeza!n	b_dat	true	false	mazmeza!n
mAZm3Za!n	noun	0	מַצְמְצָן	noun	mZmZ	m_qA_73la!n		z	-		-	im	matsmetsa!n	b_dat	true	false	maZmeZa!n
mAZme!d	noun	0	מַצְמֵד	noun	Zmd			z			-	im	matsme!d		false	false	maZme!d
mAzmera!H	noun	0	מַזְמֵרָה	noun	zmr	m_mAq7ela!H	-	n			a!H	Wt	mazmera!		true	false	mazmera!
mAZmi!d	noun	0	מַצְמִיד	beynoni	Zmd	m_mAq7i!l	-	z	-		-	im	matsmi!d	b_sus	true	false	maZmi!d
mAZmi!g	noun	0	מַצְמִיג	beynoni	Zmg	m_mAq7i!l		z	-		-	im	matsmi!g	b_sus	false	false	maZmi!g
mAZmi!jÁ	noun	0	מַצְמִיחַ	beynoni	Zmj	m_mAq7i!l	-	z	-		-	im	matsmi!ax	b_sus	true	false	maZmi!ac
mAzmi!m	noun	0	מַזְמִים	beynoni	zmm	m_mAq7i!l	-	z	-		-	im	mazmi!m	b_sus	true	false	mazmi!m
mAzmi!n	noun	0	מַזְמִין	beynoni	zmn	m_mAq7i!l	-	z	-		-	im	mazmi!n	b_sus	true	false	mazmi!n
mAZmi!Q	noun	0	מַצְמִיא	beynoni	ZmQ	m_mAq7i!l	-	z	-		-	im	matsmi!	b_sus	true	false	maZmi!
mAZmi!t	noun	0	מַצְמִית	beynoni	Zmt	m_mAq7i!l	-	z	-		-	im	matsmi!t	b_sus	true	false	maZmi!t
mAZne!jÁ	noun	0	מַצְנֵחַ	noun	Znj			z			-	im	matsne!ax		false	false	maZne!ac
mAZne!m	noun	0	מַצְנֵם	noun	Znm	m_mAq7e!l	-	z			-	im	matsne!m	b_binyan	true	false	maZne!m
mAZne!m l3jiZa!H	noun	0	מַצְנֵם לְחִיצָה	noun									matsne!m lexitsa!		false	false	maZne!m leciZa!
mAZne!n	noun	0	מַצְנֵן	noun	Znn			z			-	im	matsne!n		false	false	maZne!n
